type, dimentions, time
n; 64;  0.0001502
n; 64;  0.00015
n; 128;  0.0020463
n; 128;  0.0020188
n; 256;  0.0295216
n; 256;  0.0295092
n; 512;  1.01097
n; 512;  1.00643
n; 1024;  9.22134
n; 1024;  8.8815
n; 2048;  46.8909
o; 64;  5.83e-05
o; 64;  4.46e-05
o; 128;  0.0006021
o; 128;  0.0005268
o; 256;  0.0052912
o; 256;  0.0052957
o; 512;  0.0185854
o; 512;  0.0187381
o; 1024;  0.150604
o; 1024;  0.148134
o; 2048;  3.28518
o; 2048;  3.31734
o; 4096;  27.5596
t; 64;  0.0001669
t; 64;  0.0001531
t; 128;  0.001615
t; 128;  0.0014442
t; 256;  0.01238
t; 256;  0.0126479
t; 512;  0.103095
t; 512;  0.10266
t; 1024;  0.829064
t; 1024;  0.823181
t; 2048;  6.94601
t; 2048;  6.9566
t; 4096;  55.852
